Citation,Focus,Design,Sample N,Effect Size,Key Finding,Supports Systemic,Limitation
"Iniesta-Sepúlveda 2020, Child Psychiatry & Human Development",family (family accommodation),Meta-analysis[1],k=22 studies; N=2353 children/adolescents[1],"FA vs anxiety severity: r=0.47 (95% CI 0.39–0.54)[1]; child-administered measures: r=0.27 (95% CI 0.18–0.35)[1]; parent-rated FA vs child-rated anxiety: r=0.10 (95% CI −0.02–0.23), p=0.11[1]","Across studies, higher family accommodation correlated with greater pediatric anxiety severity (overall r≈0.47), though associations varied by informant (e.g., weaker and non-significant when parent-rated FA was paired with child-rated anxiety).[1]",mixed[1],No longitudinal studies included → limited causal inference about FA maintaining anxiety over time.[1]
"Shek 2025, Frontiers in Psychiatry",family (parental anxiety transmission),Longitudinal cohort (4-wave RI-CLPM)[2],"N=6,117 students (2019–2022)[2]",Between-person parental–child anxiety correlation: r=0.51 (p<0.001)[2],"Parental anxiety predicted child anxiety across time points (supporting “parent effects”), with some evidence of reciprocity (child anxiety → parental anxiety at later waves); effects were stronger for girls and for children vs adolescents.[2]",Y[2],Self-report questionnaires may introduce social desirability/recall bias.[2]
"Ask 2021, JCPP Advances",family (intergenerational transmission: genetic vs environmental/maternal effects),Prospective population cohort (genetically informed family design; MoBa)[3],"N=26,091 children (plus parental generation/partners in design)[3]",Mother–child association with offspring anxiety symptoms: r=0.16; model attributes 98% (95% CI 45–112) of this association to “potential maternal effects” after accounting for genetic transmission/assortative mating.[3],"After accounting for assortative mating and genetic transmission, the remaining mother–child association in anxiety symptoms was largely attributed to potential maternal effects (environmental pathways), consistent with systemic transmission beyond genetics alone.[3]",Y[3],Child anxiety was mother-reported and the SCARED anxiety scale had low internal consistency (measurement error/shared-rater bias concerns).[3]
"Ahmadzadeh 2023, JCPP Advances",family (maternal symptoms → child temperament risk markers),Longitudinal cohort[4],"Mothers n=34,060; offspring n=42,526 (ages 1.5, 3, 5 years)[4]",Stability-linked intergenerational correlations: offspring emotionality r=0.143; shyness r=0.031; sociability r=−0.015; co-development (slope–slope) r<0.005.[4],"Maternal anxiety/depression symptoms showed small associations with child temperament traits (e.g., emotionality), but minimal evidence that mother and child symptoms co-developed (changes over time largely uncorrelated).[4]",mixed[4],All phenotypes were mother-reported → possible shared-rater inflation of intergenerational associations.[4]
"Parrigon 2016, Journal of Abnormal Child Psychology",family (family processes maintaining child anxiety),Longitudinal cohort (NICHD SECCYD; ~9-year follow-up)[5],N=661[5],Not mentioned in source.,Lower attachment security to fathers and restriction of maternal autonomy granting predicted which children maintained anxiety into adolescence; partner conflict explained stability in parental anxiety over time.[5],Y[5],Not mentioned in source.
"Brumariu 2025, Development and Psychopathology",family (parental emotion socialization),Meta-analysis (3 meta-analyses within review)[6],"Supportive ES: k=50, N=10,698; Nonsupportive ES: k=47, N=10,970; Elaboration: k=6, N=867[6]","Supportive ES r=−0.06; nonsupportive ES r=0.18; elaboration r=−0.11 (associations with child internalizing problems, birth–18 years).[6]","Parent emotion socialization shows measurable (though often small) associations with child internalizing problems: nonsupportive responses correlate with higher internalizing, whereas supportive/elaborative responses correlate with lower internalizing.[6]",Y[6],Not mentioned in source.
"Shannon 2021, JMIR Mental Health",digital (problematic social media use),Systematic review + meta-analysis[7],"k=18 studies; N=9,269[7]","Problematic social media use vs anxiety symptoms: r=0.348 (95% CI 0.270–0.426), p<.001[7]",Problematic social media use in youth shows a moderate positive association with anxiety symptoms (r≈0.35).[7],Y[7],Evidence largely cross-sectional/self-report; causal direction unclear and bidirectionality possible.[7]
"Fassi 2024, JAMA Pediatrics",digital (social media use in clinical adolescent samples),Pre-registered systematic review + meta-analysis (observational correlations)[8],"k=143 studies; N=1,094,890 adolescents (11% clinical samples)[8]",Clinical samples: time spent r=0.08; engagement r=0.12 (internalizing symptoms)[8],"In adolescent clinical samples, social media use showed small positive correlations with internalizing symptoms (r≈0.08–0.12), similar in magnitude to community samples.[8]",mixed[8],Correlational evidence only → no causal inference about whether social media increases internalizing symptoms or vice versa.[8]
"Nan 2024, Mass Communication & Society",digital (social media use & social anxiety),Meta-analysis (random effects)[9],"k=27 studies; N=38,163[9]","Social media use vs social anxiety: r=0.14 (95% CI 0.06–0.22), p=0.001[9]","Across studies, social media use was significantly associated with higher social anxiety symptoms (small effect; r≈0.14).[9]",mixed[9],Mostly cross-sectional; causal direction cannot be specified (25/27 cross-sectional).[9]
"Yoshizawa 2025, JMIR Pediatrics and Parenting",digital (screen time during COVID-19),Systematic review + meta-analysis[10],"k=23 studies; N=29,581 (children/adolescents, 2020–2023)[10]","Screen time vs anxiety during COVID-19: r=0.157 (95% CI 0.0994–0.214), p<.001[10]","During COVID-19, higher screen time correlated with higher anxiety symptoms (r≈0.16); problematic device use showed stronger correlations with anxiety than duration-only measures.[10]",Y[10],COVID-19 period-specific evidence; synthesis is correlational (key limitations not detailed in provided extract).[10]
"Li 2025, British Journal of Clinical Psychology",digital (screen time: cross-sectional vs longitudinal),Prospective cohort (Future Proofing Study; 12-month follow-up analyses)[11],"N=4,058 adolescents (mean age 13.9)[11]","Per additional hour/day screen time: cross-sectional anxiety +0.79 CAS-8 (95% CI 0.68–0.90), p<.001[11]; longitudinal anxiety at 12 months: not significant (p=0.443)[11]","Screen time was associated with higher anxiety cross-sectionally, but did not predict subsequent anxiety over 12 months after adjustment, suggesting weak longitudinal maintenance effects.[11]",mixed[11],Screen time measured by a single self-report item; bespoke measure not validated and prone to recall bias.[11]
"Tang 2021, Clinical Psychology Review",digital (screen time longitudinal evidence),Systematic review (longitudinal studies)[12],"k=35 studies (sample sizes 126–12,866; total N not mentioned)[12]",Anxiety: not reported; review notes longitudinal evidence for anxiety outcomes is lacking.[12],"Across longitudinal studies, screen time showed only small-to-very-small associations with later depressive symptoms, and evidence supporting longitudinal associations with anxiety was lacking.[12]",mixed[12],No pooled numerical effect size for anxiety is provided in the available extract; calls for studies considering screen content/motives.[12]
"Rienks 2025, Behaviour Research and Therapy",intervention (parent-focused interventions for child anxiety),Meta-analysis (network/component-based synthesis)[13],"k=26 studies; N=4,098[13]",Overall effect on child anxiety: d=−0.59 (95% CI −0.92 to −0.26)[13],Parent-focused interventions reduced children’s anxiety with a medium pooled effect (d≈−0.59); effective component clusters generally included behavioral elements (with possible added value from cognitive/emotional components).[13],Y[13],Very low certainty of evidence.[13]
"Jewell 2022, Journal of Affective Disorders",intervention (parent-only interventions for school-aged child anxiety),Systematic review + meta-analysis[14],k=29 studies (total N not mentioned in provided extract)[14],Not mentioned in source.,"Parent-only interventions showed significant benefit vs waitlist, but not vs other active interventions; no significant effects for child-rated outcomes.[14]",mixed[14],Many included studies were rated weak quality (19/29).[14]
"Sigurvinsdóttir 2019, Nordic Journal of Psychiatry",intervention (family-based CBT vs individual/controls for pediatric anxiety disorders),Systematic review + meta-analysis[15],"k=81 studies; N=5,913 (CBT n=3,386; control n=2,527)[15]",Family-based CBT vs wait-list: OR=26.21 (95% CI 6.62–103.79)[15]; family-based CBT vs attention control: OR=1.88 (95% CI 0.87–4.09)[15],"Family-based CBT outperformed several control conditions, but evidence for superiority over attention controls (and over individual CBT) was limited/mixed; individual CBT was not superior to family-based CBT in this synthesis.[15]",mixed[15],High performance-bias risk (no blinding) and family-based CBT vs attention-control evidence based on only one study.[15]
"Creswell 2024, Lancet Psychiatry","intervention (digitally augmented, parent-led CBT in routine care)",Pragmatic multisite non-inferiority RCT (unblinded)[16],N=444 families (222 per arm)[16],"Primary outcome (CAIS-P interference, week 26): SMD=0.01 (95% CI −0.15 to 0.17), p<0.00001 (non-inferior to usual care)[16]","Therapist-supported, digitally augmented, parent-led CBT (OSI) was non-inferior to usual service treatment for child anxiety interference at 26 weeks, while reducing therapist time and costs.[16]",Y[16],Unblinded trial; heavy reliance on participant-reported outcomes (parent prioritized).[16]
"Dunn 2024, The Lancet Regional Health – Europe",intervention (online parent intervention to prevent child anxiety; anxious parents),Parallel-group unblinded RCT (online course vs no-intervention control)[17],"N=1,811 parents (900 intervention; 911 control)[17]","Child anxiety at 6 months: adjusted effect size −0.15 SD (95% CI −0.23 to −0.08), p<0.001; Cohen’s d=−0.16 (95% CI −0.23 to −0.08)[17]","An unguided online intervention targeting highly anxious parents reduced parent-reported child anxiety vs no intervention at 6 months (d≈−0.16), with effects maintained at longer-term follow-up in reported models.[17]",Y[17],Differential retention at 6 months (intervention 57.3% vs control 77.8%).[17]
"Elfström 2025, Journal of Child Psychology and Psychiatry",intervention (parent-focused prevention program: CPBC),Parallel randomized controlled open-label trial[18],215 parents; 277 children[18],Primary outcome (CSR change at 12 months): OR=0.67 (95% CI 0.30–1.48)[18]; child anxiety symptoms (secondary): d=0.35 (95% CI 0.15–0.55)[18]; subgroup (age 5–6) anxiety diagnosis OR=0.23 (95% CI 0.05–0.84)[18],"CPBC did not significantly improve the primary prevention outcome or reduce disorder prevalence overall at 12 months, but showed improvement on child symptom measures and possible stronger effects in younger children (5–6 years).[18]",mixed[18],Open-label/lack of participant blinding (risk of bias).[18]
"[1] Iniesta-Sepúlveda et al., 2020. The Relationship of Family Accommodation with Pediatric Anxiety Severity: Meta-analytic Findings and Child, Family and Methodological Moderators. Child Psychiatry and Human Development."
"[2] Shek et al., 2025. Is parental anxiety related to child anxiety? Insights from a four-wave longitudinal study in a Chinese context. Frontiers in Psychiatry."
"[3] Ask et al., 2021. Intergenerational transmission of parental neuroticism to emotional problems in 8‐year‐old children: Genetic and environmental influences. JCPP Advances."
"[4] Ahmadzadeh et al., 2023. Mothers' symptoms of anxiety and depression and the development of child temperament: A genetically informative, longitudinal investigation. JCPP Advances."
"[5] Parrigon & Kerns, 2016. Family Processes in Child Anxiety: the Long-Term Impact of Fathers and Mothers. Journal of Abnormal Child Psychology."
"[6] Brumariu et al., 2025. Parental emotion socialization and internalizing problems in childhood and adolescence: A meta-analytic review. Development and Psychopathology."
"[7] Shannon et al., 2021. Problematic Social Media Use in Adolescents and Young Adults: Systematic Review and Meta-analysis. JMIR Mental Health."
"[8] Fassi et al., 2024. Social Media Use and Internalizing Symptoms in Clinical and Community Adolescent Samples: A Systematic Review and Meta-Analysis. JAMA pediatrics."
"[9] Nan et al., 2024. Is Social Media Use Related to Social Anxiety? A Meta-Analysis. Mass Communication & Society."
"[10] Yoshizawa et al., 2025. Screen Time, Child Depression, and Anxiety During the COVID-19 Pandemic: Systematic Review and Meta-Analysis. JMIR Pediatrics and Parenting."
"[11] Li et al., 2025. Cross‐sectional and longitudinal associations of screen time with adolescent depression and anxiety. British Journal of Clinical Psychology."
"[12] Tang et al., 2021. The relationship between screen time and mental health in young people: A systematic review of longitudinal studies. Clinical Psychology Review."
"[13] Rienks et al., 2025. Supporting parents to reduce children's anxiety: A meta-analysis of interventions and their theoretical components. Behaviour Research and Therapy."
"[14] Jewell et al., 2022. The impact of parent-only interventions on child anxiety: A systematic review and meta-analysis. Journal of Affective Disorders."
"[15] Sigurvinsdóttir et al., 2019. Effectiveness of cognitive behavioral therapy (CBT) for child and adolescent anxiety disorders across different CBT modalities and comparisons: a systematic review and meta-analysis. Nordic Journal of Psychiatry."
"[16] Creswell et al., 2024. Digitally augmented, parent-led CBT versus treatment as usual for child anxiety problems in child mental health services in England and Northern Ireland: a pragmatic, non-inferiority, clinical effectiveness and cost-effectiveness randomised controlled trial. Lancet psychiatry."
"[17] Dunn et al., 2024. Effectiveness of an unguided modular online intervention for highly anxious parents in preventing anxiety in their children: a parallel group randomised controlled trial. The Lancet Regional Health - Europe."
"[18] Elfström et al., 2025. Evaluating a program to prevent anxiety in children of anxious parents: a randomized controlled trial. Journal of Child Psychology and Psychiatry and Allied Disciplines."
